Year,Month-Day,E_06MeV,E_2MeV,P_1MeV,P_10MeV,P_100MeV,Radio_Flux,XRay_Bkgd_Flux,MLF_A,HLC_A,EP_A,Sunspot_Area,Sunspot_Number,S,O1,O2,O3,Flare_tot
1997,Jan-01,0.839354003,0.537867985,0.576377346,0.47004988,0.501578597,0.241610738,0,0.020100503,0,0.010582011,0,0,0,0,0,0,0
1997,Jan-02,0.826370929,0.527188794,0.573102698,0.47004988,0.503206649,0.241610738,0,0.020100503,0,0.026455026,0,0,0,0,0,0,0
1997,Jan-03,0.839354003,0.539722169,0.591114099,0.467124443,0.503206649,0.244966443,0,0.015075377,0,0.010582011,0,0,0,0,0,0,0
1997,Jan-04,0.826370929,0.527188794,0.584994947,0.47004988,0.50633802,0.248322148,0,0.020100503,0,0.021164021,0.001757469,0.032418953,0,0,0,0,0
1997,Jan-05,0.812608316,0.516239839,0.602247246,0.47004988,0.50633802,0.248322148,0,0.020100503,0,0.015873016,0.003514938,0.037406484,0,0,0,0,0
1997,Jan-06,0.799625242,0.509523994,0.602247246,0.47004988,0.50633802,0.244966443,0,0.020100503,0,0.010582011,0.001757469,0.037406484,0,0,0,0,0
1997,Jan-07,0.817760741,0.513011195,0.616099439,0.47004988,0.507845463,0.244966443,0,0.055276382,0,0.052910053,0,0.029925187,0,0,0,0,0
1997,Jan-08,0.895507527,0.554896763,0.611197381,0.47004988,0.503206649,0.248322148,0,0.035175879,0,0.037037037,0,0,0,0,0,0,0
1997,Jan-09,0.885672288,0.54796683,0.592245652,0.472808056,0.510753077,0.248322148,0,0.030150754,0,0.031746032,0.003514938,0.029925187,0,0,0,0,0
1997,Jan-10,0.929555281,0.832727511,0.669235152,0.472808056,0.510753077,0.251677852,0,0.105527638,0.174528302,0.164021164,0.005272408,0.032418953,0,0,0,0,0
1997,Jan-11,0.917100789,0.796462139,0.645126636,0.47004988,0.509316579,0.248322148,0.053344338,0.095477387,0.070754717,0.068783069,0.003514938,0.029925187,0,0,0,0,0
1997,Jan-12,0.920611014,0.775684104,0.697762926,0.472808056,0.510753077,0.251677852,0,0.050251256,0.056603774,0.052910053,0,0,0,0,0,0,0
1997,Jan-13,0.93681144,0.793883472,0.645126636,0.475417067,0.510753077,0.251677852,0,0.040201005,0.009433962,0.026455026,0,0,0,0,0,0,0
1997,Jan-14,0.940986955,0.810472495,0.669235152,0.472808056,0.514870256,0.251677852,0,0.025125628,0,0.021164021,0,0,0,0,0,0,0
1997,Jan-15,0.930863402,0.813959696,0.6768905,0.472808056,0.51352848,0.255033557,0.044267406,0.025125628,0,0.021164021,0.005272408,0.034912718,0,0,0,0,0
1997,Jan-16,0.920611014,0.792807695,0.662516964,0.472808056,0.514870256,0.251677852,0.044267406,0.015075377,0,0.015873016,0.003514938,0.039900249,0,0,0,0,0
1997,Jan-17,0.913238982,0.782399949,0.686405693,0.472808056,0.51746845,0.248322148,0,0.010050251,0,0.010582011,0,0.029925187,0,0,0,0,0
1997,Jan-18,0.892150117,0.727821128,0.673222498,0.475417067,0.51746845,0.251677852,0,0.030150754,0.004716981,0.026455026,0,0.08478803,0,0,0,0,0
1997,Jan-19,0.881744914,0.685411105,0.645126636,0.475417067,0.519960565,0.251677852,0,0.030150754,0.018867925,0.021164021,0,0,0,0,0,0,0
1997,Jan-20,0.878387504,0.641816818,0.632643082,0.475417067,0.519960565,0.258389262,0,0.030150754,0.018867925,0.026455026,0,0,0,0,0,0,0
1997,Jan-21,0.860947265,0.609840161,0.622877964,0.472808056,0.51352848,0.248322148,0,0,0.04245283,0.047619048,0,0,0,0,0,0,0
1997,Jan-22,0.882201557,0.643525538,0.571373226,0.475417067,0.512156549,0.244966443,0,0.030150754,0.009433962,0.026455026,0,0,0,0,0,0,0
1997,Jan-23,0.904117715,0.668382327,0.569575915,0.472808056,0.512156549,0.244966443,0,0.020100503,0.009433962,0.015873016,0,0,0,0,0,0,0
1997,Jan-24,0.898596044,0.662293352,0.571373226,0.472808056,0.510753077,0.248322148,0,0.020100503,0,0.015873016,0.003514938,0.029925187,0,0,0,0,0
1997,Jan-25,0.888472491,0.66336913,0.600413979,0.472808056,0.512156549,0.244966443,0,0.035175879,0.004716981,0.031746032,0,0.027431421,0,0,0,0,0
1997,Jan-26,0.867453719,0.609840161,0.637471287,0.47004988,0.50633802,0.248322148,0,0.075376884,0.070754717,0.068783069,0,0.029925187,0,0,0,0,0
1997,Jan-27,0.946508626,0.774869748,0.667103346,0.467124443,0.50633802,0.248322148,0,0.090452261,0.047169811,0.068783069,0,0.027431421,0,0,0,0,0
1997,Jan-28,0.940986955,0.854544667,0.757201588,0.467124443,0.501578597,0.244966443,0,0.100502513,0,0.111111111,0,0.027431421,0,0,0,0,0
1997,Jan-29,0.950574053,0.878355804,0.664867508,0.467124443,0.498186149,0.251677852,0,0.040201005,0.037735849,0.042328042,0.003514938,0.039900249,0,0,0,0,0
1997,Jan-30,0.948186537,0.886043439,0.696631373,0.467124443,0.501578597,0.248322148,0.02398683,0.060301508,0.066037736,0.058201058,0.005272408,0.037406484,0,0,0,0,0
1997,Jan-31,0.941963865,0.869951617,0.641458633,0.472808056,0.50633802,0.241610738,0,0.050251256,0,0.042328042,0.001757469,0.032418953,0,0,0,0,0
1997,Feb-01,0.938955651,0.869951617,0.633103644,0.47004988,0.509316579,0.238255034,0,0.025125628,0.009433962,0.031746032,0.003514938,0.034912718,0,0,0,0,0
1997,Feb-02,0.920611014,0.83485314,0.648522676,0.47004988,0.507845463,0.261744966,0,0,0.014150943,0.052910053,0.010544815,0.089775561,0,0,0,0,0
1997,Feb-03,0.904117715,0.768698494,0.626192099,0.47004988,0.507845463,0.268456376,0.28461397,0.030150754,0.004716981,0.037037037,0.031634446,0.112219451,0,0,0,0,0
